,geneID,x,y,MIDCounts,newx,newy
10729641,Cd74,9694,18014,1,6469,11839
10729642,Cd74,11004,15244,2,7779,9069
10729643,Cd74,7109,15724,3,3884,9549
10729644,Cd74,11557,13740,2,8332,7565
10729645,Cd74,5690,9271,1,2465,3096
10729646,Cd74,8046,14351,1,4821,8176
10729647,Cd74,10962,7859,2,7737,1684
10729648,Cd74,8550,15529,1,5325,9354
10729649,Cd74,8891,6563,2,5666,388
10729650,Cd74,13434,11054,1,10209,4879
10729651,Cd74,13068,13317,2,9843,7142
10729652,Cd74,5428,15154,2,2203,8979
10729653,Cd74,13364,13628,1,10139,7453
10729654,Cd74,4157,10254,2,932,4079
10729655,Cd74,8102,13865,1,4877,7690
10729656,Cd74,6407,7458,1,3182,1283
10729657,Cd74,7633,19539,2,4408,13364
10729658,Cd74,13396,12388,2,10171,6213
10729659,Cd74,13087,13321,2,9862,7146
10729660,Cd74,4318,10417,4,1093,4242
10729661,Cd74,8834,6681,2,5609,506
10729662,Cd74,11087,6965,1,7862,790
10729663,Cd74,9793,11904,3,6568,5729
10729664,Cd74,10341,6697,1,7116,522
10729665,Cd74,7802,14912,1,4577,8737
10729666,Cd74,11369,9715,1,8144,3540
10729667,Cd74,3501,10924,4,276,4749
10729668,Cd74,13082,13322,2,9857,7147
10729669,Cd74,8264,13420,1,5039,7245
10729670,Cd74,6986,15339,3,3761,9164
10729671,Cd74,10602,16941,1,7377,10766
10729672,Cd74,11625,9692,1,8400,3517
10729673,Cd74,6305,17309,1,3080,11134
10729674,Cd74,8612,18483,1,5387,12308
10729675,Cd74,6521,15456,1,3296,9281
10729676,Cd74,11319,7980,1,8094,1805
10729677,Cd74,6132,13776,4,2907,7601
10729678,Cd74,11078,16508,2,7853,10333
10729679,Cd74,9676,8447,3,6451,2272
10729680,Cd74,11847,15837,1,8622,9662
10729681,Cd74,5225,14191,3,2000,8016
10729682,Cd74,11840,15747,1,8615,9572
10729683,Cd74,5395,11254,1,2170,5079
10729684,Cd74,7706,13877,3,4481,7702
10729685,Cd74,12785,8828,1,9560,2653
10729686,Cd74,10416,6701,2,7191,526
10729687,Cd74,6995,15335,1,3770,9160
10729688,Cd74,10519,13957,1,7294,7782
10729689,Cd74,7629,19680,1,4404,13505
10729690,Cd74,5421,9152,2,2196,2977
10729691,Cd74,5172,10460,3,1947,4285
10729692,Cd74,10254,6640,1,7029,465
10729693,Cd74,9860,6596,1,6635,421
10729694,Cd74,10913,7489,1,7688,1314
10729695,Cd74,6253,9255,3,3028,3080
10729696,Cd74,5599,9148,3,2374,2973
10729697,Cd74,5691,9265,1,2466,3090
10729698,Cd74,13217,10228,4,9992,4053
10729699,Cd74,7335,15786,2,4110,9611
10729700,Cd74,6196,9260,2,2971,3085
10729701,Cd74,8872,6961,1,5647,786
10729702,Cd74,6389,15571,1,3164,9396
10729703,Cd74,8859,6518,2,5634,343
10729704,Cd74,10184,17609,2,6959,11434
10729705,Cd74,11043,16658,3,7818,10483
10729706,Cd74,11168,9566,1,7943,3391
10729707,Cd74,5233,11832,1,2008,5657
10729708,Cd74,11818,13740,4,8593,7565
10729709,Cd74,6042,15636,3,2817,9461
10729710,Cd74,8855,14360,1,5630,8185
10729711,Cd74,6968,15318,2,3743,9143
10729712,Cd74,6579,15477,1,3354,9302
10729713,Cd74,4226,9787,1,1001,3612
10729714,Cd74,5887,9265,1,2662,3090
10729715,Cd74,5689,9249,4,2464,3074
10729716,Cd74,12370,10668,2,9145,4493
10729717,Cd74,8365,13435,4,5140,7260
10729718,Cd74,4967,13626,4,1742,7451
10729719,Cd74,8927,13409,6,5702,7234
10729720,Cd74,8678,12499,4,5453,6324
10729721,Cd74,7494,11583,1,4269,5408
10729722,Cd74,6264,9283,1,3039,3108
10729723,Cd74,5348,15432,3,2123,9257
10729724,Cd74,13295,9771,1,10070,3596
10729725,Cd74,10332,6718,2,7107,543
10729726,Cd74,8435,6498,4,5210,323
10729727,Cd74,10912,7791,2,7687,1616
10729728,Cd74,10906,7803,4,7681,1628
10729729,Cd74,11860,15744,1,8635,9569
10729730,Cd74,10847,13507,2,7622,7332
10729731,Cd74,8377,15848,2,5152,9673
10729732,Cd74,10910,7792,4,7685,1617
10729733,Cd74,13045,9761,1,9820,3586
10729734,Cd74,4132,10249,2,907,4074
10729735,Cd74,10351,8184,2,7126,2009
10729736,Cd74,6973,15352,2,3748,9177
10729737,Cd74,3776,10407,3,551,4232
10729738,Cd74,6060,15647,3,2835,9472
10729739,Cd74,5378,9116,2,2153,2941
10729740,Cd74,10932,7807,1,7707,1632
10729741,Cd74,7437,10988,2,4212,4813
10729742,Cd74,5704,9265,2,2479,3090
10729743,Cd74,10875,8039,1,7650,1864
10729744,Cd74,13238,10182,2,10013,4007
10729745,Cd74,6414,7448,1,3189,1273
10729746,Cd74,8717,12532,1,5492,6357
10729747,Cd74,6704,15428,3,3479,9253
10729748,Cd74,10941,7766,2,7716,1591
10729749,Cd74,5555,9300,1,2330,3125
10729750,Cd74,6781,9666,3,3556,3491
10729751,Cd74,5301,9216,1,2076,3041
10729752,Cd74,5700,9272,1,2475,3097
10729753,Cd74,10516,8224,3,7291,2049
10729754,Cd74,8511,7659,1,5286,1484
10729755,Cd74,4151,10226,3,926,4051
10729756,Cd74,5986,9326,1,2761,3151
10729757,Cd74,10660,16961,1,7435,10786
10729758,Cd74,8717,12518,4,5492,6343
10729759,Cd74,4143,10240,2,918,4065
10729760,Cd74,10911,7844,1,7686,1669
10729761,Cd74,9472,17928,2,6247,11753
10729762,Cd74,7760,13017,1,4535,6842
10729763,Cd74,10903,7791,2,7678,1616
10729764,Cd74,5995,9328,1,2770,3153
10729765,Cd74,13248,10307,3,10023,4132
10729766,Cd74,7077,15417,1,3852,9242
10729767,Cd74,4142,10234,2,917,4059
10729768,Cd74,10444,6683,3,7219,508
10729769,Cd74,7364,14746,3,4139,8571
10729770,Cd74,7459,11584,1,4234,5409
10729771,Cd74,7038,15309,3,3813,9134
10729772,Cd74,5568,9163,1,2343,2988
10729773,Cd74,10766,8377,1,7541,2202
10729774,Cd74,4142,10238,4,917,4063
10729775,Cd74,6953,15853,3,3728,9678
10729776,Cd74,9691,17951,1,6466,11776
10729777,Cd74,11477,13446,2,8252,7271
10729778,Cd74,4143,10236,1,918,4061
10729779,Cd74,10810,17003,1,7585,10828
10729780,Cd74,6673,15854,1,3448,9679
10729781,Cd74,5957,15235,2,2732,9060
10729782,Cd74,6374,15578,1,3149,9403
10729783,Cd74,13228,10200,2,10003,4025
10729784,Cd74,13052,9768,2,9827,3593
10729785,Cd74,6215,9287,1,2990,3112
10729786,Cd74,6235,8318,1,3010,2143
10729787,Cd74,13222,10218,1,9997,4043
10729788,Cd74,13043,9765,1,9818,3590
10729789,Cd74,5993,9613,1,2768,3438
10729790,Cd74,10917,16063,1,7692,9888
10729791,Cd74,10401,8300,2,7176,2125
10729792,Cd74,10899,14150,1,7674,7975
10729793,Cd74,5656,15792,3,2431,9617
10729794,Cd74,4138,10230,2,913,4055
10729795,Cd74,7796,14906,3,4571,8731
10729796,Cd74,4758,12058,1,1533,5883
10729797,Cd74,11106,16496,1,7881,10321
10729798,Cd74,5694,9274,2,2469,3099
10729799,Cd74,13091,13319,1,9866,7144
10729800,Cd74,6283,9285,1,3058,3110
10729801,Cd74,7883,9588,2,4658,3413
10729802,Cd74,8278,14293,1,5053,8118
