"","barcodes","clusters"
"173","abhbafcc-1","9_LOH"
"174","abhcmbcp-1","4_TAL"
"175","abhjcfij-1","4_TAL"
"176","abhjkoka-1","9_LOH"
"177","abhmojdl-1","10_ENDO"
"178","abhppmpf-1","10_ENDO"
"179","abiammnb-1","23_LEU"
"180","abicmodc-1","2_PCT"
"181","abidmbjd-1","12_POD"
"182","abigjikg-1","15_MES"
"183","abihjlal-1","2_PCT"
"184","abihkjjl-1","15_MES"
"185","abjdboni-1","2_PCT"
"186","abjeagnl-1","10_ENDO"
"187","abjfbinb-1","2_PCT"
"188","abjfiljk-1","10_ENDO"
"189","abjhkhcp-1","2_PCT"
"190","abjifipg-1","2_PCT"
"191","abjifjgd-1","10_ENDO"
"192","abkcjogf-1","23_LEU"
"193","abkeihii-1","15_MES"
"194","abkffpfp-1","10_ENDO"
"195","abkidnbh-1","23_LEU"
"196","abkjaech-1","23_LEU"
"197","abkloeac-1","23_LEU"
"198","abkoeomk-1","2_PCT"
"199","abkpmcmh-1","23_LEU"
"200","ablabble-1","23_LEU"
"201","ablbmmob-1","23_LEU"
"202","ablckkob-1","23_LEU"
"203","abldicfn-1","23_LEU"
"204","ablfdhkg-1","10_ENDO"
"205","ablgafhk-1","12_POD"
"206","ablgigal-1","23_LEU"
"207","ablifagp-1","15_MES"
"208","ablkogdb-1","23_LEU"
"209","abmdoiab-1","23_LEU"
"210","abmfddgp-1","23_LEU"
"211","abmhicpa-1","7_TAL"
"212","abmhlapk-1","23_LEU"
"213","abmhonck-1","10_ENDO"
"214","abmlofne-1","23_LEU"
"215","abmnaloc-1","15_MES"
"216","abmocpni-1","23_LEU"
"217","abmpcbpb-1","10_ENDO"
"218","abncgglf-1","23_LEU"
"219","abnfakgn-1","23_LEU"
"220","abnfladl-1","15_MES"
"221","abngabhk-1","23_LEU"
"222","abnhafhp-1","23_LEU"
"223","abniggal-1","15_MES"
"224","abnmnabe-1","23_LEU"
"225","abodpioh-1","10_ENDO"
"226","abogccjl-1","23_LEU"
"227","abojacic-1","15_MES"
"228","abojieic-1","15_MES"
"229","abokdamh-1","23_LEU"
"230","abokdogf-1","23_LEU"
"231","aboodkgb-1","23_LEU"
"232","abopjbce-1","15_MES"
"233","abopmcgh-1","23_LEU"
"234","abpamjoo-1","10_ENDO"
"235","abpbabhc-1","23_LEU"
"236","abpeidio-1","2_PCT"
"237","abpenoje-1","23_LEU"
"238","abpgadjn-1","12_POD"
"239","abpgnkeg-1","23_LEU"
"240","abphkilo-1","23_LEU"
"241","abphlacc-1","23_LEU"
"242","abpkgdpn-1","23_LEU"
"243","abplcpcg-1","2_PCT"
"244","abpndeed-1","23_LEU"
"245","abppfcdo-1","23_LEU"
"246","acabikna-1","15_MES"
"247","acagiigc-1","15_MES"
"248","acahnhni-1","23_LEU"
"249","acajgoeh-1","15_MES"
"250","acaobjef-1","23_LEU"
"251","acaobpbd-1","23_LEU"
"252","acapcohc-1","15_MES"
"253","acapgdlp-1","15_MES"
"254","acbdaege-1","15_MES"
"255","acccedpi-1","15_MES"
"256","acccekfd-1","15_MES"
"257","accelccb-1","15_MES"
"258","accjmppe-1","15_MES"
"259","acckffdi-1","15_MES"
"260","accneggf-1","23_LEU"
"261","acdciakb-1","15_MES"
"262","acddjben-1","12_POD"
"263","acdffppp-1","23_LEU"
"264","acdfmkfg-1","23_LEU"
"265","acdmpfll-1","23_LEU"
"266","acdmpmck-1","23_LEU"
"267","acdnljpi-1","23_LEU"
"268","acdohjed-1","15_MES"
"269","acdpcdad-1","23_LEU"
"270","aceclibo-1","15_MES"
"271","acegbndp-1","23_LEU"
"272","aceifakj-1","2_PCT"
"273","aceilkob-1","2_PCT"
"274","aceiniie-1","13_PCT-TAL"
"275","aceioalf-1","10_ENDO"
"276","acelcklf-1","16_PEC"
"277","acemlefj-1","15_MES"
"278","aceoecjm-1","10_ENDO"
"279","acepbilm-1","4_TAL"
"280","acfcmlgc-1","2_PCT"
"281","acfcpccl-1","0_TAL"
"282","acfdhjel-1","15_MES"
"283","acfemdgj-1","16_PEC"
"284","acfemefm-1","15_MES"
"285","acffdcof-1","16_PEC"
"286","acfhepha-1","15_MES"
"287","acfinjkm-1","16_PEC"
"288","acfjfhge-1","10_ENDO"
"289","acfkkmdb-1","15_MES"
"290","acfndcdi-1","15_MES"
"291","acfokjdi-1","13_PCT-TAL"
"292","acgbjhkl-1","15_MES"
"293","acgedogp-1","16_PEC"
"294","acglacll-1","15_MES"
"295","acgobjbi-1","15_MES"
"296","acgofikf-1","13_PCT-TAL"
"297","achabppo-1","16_PEC"
"298","achafjam-1","4_TAL"
"299","achbhefj-1","23_LEU"
"300","achcfkki-1","15_MES"
"301","achdcgbj-1","0_TAL"
"302","acheaonk-1","23_LEU"
"303","achekekp-1","10_ENDO"
"304","achficcf-1","15_MES"
"305","achgjjdb-1","16_PEC"
"306","achgjlhi-1","16_PEC"
"307","achikhgi-1","15_MES"
"308","achjjine-1","15_MES"
"309","achkcgek-1","16_PEC"
"310","achkilfd-1","10_ENDO"
"311","achnhajn-1","16_PEC"
"312","achpmonh-1","2_PCT"
"313","acialmek-1","13_PCT-TAL"
"314","aciebhhj-1","13_PCT-TAL"
"315","acifaanf-1","4_TAL"
"316","acignkgn-1","4_TAL"
"317","aciidfhd-1","4_TAL"
"318","acijmehh-1","0_TAL"
"319","acimdlig-1","4_TAL"
"320","acjepfce-1","4_TAL"
"321","acjkcmia-1","4_TAL"
"322","acjleoap-1","4_TAL"
"323","acjlolfn-1","4_TAL"
"324","acjnkhjd-1","4_TAL"
"325","acjomian-1","4_TAL"
"326","ackbebma-1","15_MES"
"327","ackfeeed-1","15_MES"
"328","ackfgbld-1","4_TAL"
"329","ackhcjhc-1","15_MES"
"330","ackifcli-1","13_PCT-TAL"
"331","ackihjen-1","10_ENDO"
"332","ackilade-1","15_MES"
"333","ackldonc-1","15_MES"
"334","acklgmjc-1","15_MES"
"335","acknfdfi-1","15_MES"
"336","aclampia-1","15_MES"
"337","aclbobba-1","15_MES"
"338","acldamni-1","10_ENDO"
"339","aclflggb-1","10_ENDO"
"340","aclfpool-1","15_MES"
"341","aclhbjpc-1","13_PCT-TAL"
"342","acllkdke-1","15_MES"
"343","aclnlblj-1","23_LEU"
"344","acmbjkdh-1","15_MES"
"345","acmbmllh-1","15_MES"
"346","acmbneeo-1","10_ENDO"
"347","acmcapcp-1","10_ENDO"
"348","acmcmmhm-1","15_MES"
"349","acmeadke-1","2_PCT"
"350","acmedfha-1","2_PCT"
"351","acmgngck-1","4_TAL"
"352","acmjbkii-1","2_PCT"
"353","acmlfmem-1","10_ENDO"
"354","acmmfghg-1","10_ENDO"
"355","acnakkbe-1","10_ENDO"
"356","acndbbpl-1","10_ENDO"
"357","acnkpnni-1","4_TAL"
"358","acobamdg-1","15_MES"
"359","acobfcdn-1","15_MES"
"360","acoccjmm-1","15_MES"
"361","acoddmdl-1","9_LOH"
"362","acoincan-1","13_PCT-TAL"
"363","acokbmdp-1","16_PEC"
"364","acokoejo-1","16_PEC"
"365","acolchob-1","13_PCT-TAL"
"366","acolcmck-1","12_POD"
